,Temperature,Pressure,Phase,Number Of Components,Component 1,Mole Fraction 1,Component 2,Mole Fraction 2,DielectricConstant Value,DielectricConstant Uncertainty,ExcessMolarVolume Value,ExcessMolarVolume Uncertainty,EnthalpyOfVaporization Value,EnthalpyOfVaporization Uncertainty,EnthalpyOfMixing Value,EnthalpyOfMixing Uncertainty,Density Value,Density Uncertainty
63,298.15 kelvin,101.325 kilopascal,2,1,C(Cl)(Cl)(Cl)Cl,1.0,,,,,,,,,,,1.5682251184557983 gram / milliliter,0.0003478176004454434 gram / milliliter
64,298.15 kelvin,101.325 kilopascal,6,1,C/C=C/C=C/COC(=O)C,1.0,,,,,,,63224.99872053114 kilogram * meter ** 2 / mole / second ** 2,370.52031556543415 kilogram * meter ** 2 / mole / second ** 2,,,,
65,298.15 kelvin,101.0 kilopascal,2,1,C1CC(=O)OC1,1.0,,,34.912677605853276 dimensionless,1.4682069376924807 dimensionless,,,,,,,1.0956804974222647 gram / milliliter,8.909136066559548e-05 gram / milliliter
66,298.15 kelvin,101.325 kilopascal,2,1,C1CCC(=O)C1,1.0,,,9.274909993913987 dimensionless,0.644704427325 dimensionless,,,,,,,0.9280170373028428 gram / milliliter,0.000295897978108124 gram / milliliter
67,298.15 kelvin,101.0 kilopascal,2,2,CS(=O)C,0.7569,C1CCC(=O)CC1,0.2431,,,,,,,474.20270106907265 kilogram * meter ** 2 / mole / second ** 2,16.896530768058945 kilogram * meter ** 2 / mole / second ** 2,,
68,303.15 kelvin,101.0 kilopascal,2,2,CS(=O)C,0.7218,C1CCC(=O)CC1,0.2782,,,1.4900427568301277e-07 meter ** 3 / mole,1.7240267542928022e-08 meter ** 3 / mole,,,,,,
69,298.15 kelvin,101.0 kilopascal,2,2,CS(=O)C,0.2762,C1CCC(=O)CC1,0.7238,,,,,,,475.19409234174964 kilogram * meter ** 2 / mole / second ** 2,16.6417361429599 kilogram * meter ** 2 / mole / second ** 2,,
70,303.15 kelvin,101.0 kilopascal,2,2,CS(=O)C,0.2241,C1CCC(=O)CC1,0.7759,,,1.216207081316162e-07 meter ** 3 / mole,1.687680173872866e-08 meter ** 3 / mole,,,,,,
71,298.15 kelvin,101.325 kilopascal,2,1,C1CCC(=O)CC1,1.0,,,8.359683840708934 dimensionless,0.7749423688030875 dimensionless,,,,,,,0.9294360640007202 gram / milliliter,0.0002902990537428773 gram / milliliter
72,298.15 kelvin,101.325 kilopascal,2,1,C1CCOC1,1.0,,,,,,,,,,,0.8818407382105418 gram / milliliter,0.00032745326133048715 gram / milliliter
73,313.15 kelvin,101.0 kilopascal,2,2,C1COCCN1,0.2968,O,0.7032,,,,,,,-1883.0867697018912 kilogram * meter ** 2 / mole / second ** 2,17.764830788537132 kilogram * meter ** 2 / mole / second ** 2,,
74,298.15 kelvin,101.325 kilopascal,2,1,C1COCCN1,1.0,,,,,,,,,,,1.033843861827257 gram / milliliter,0.00038599591613456055 gram / milliliter
75,293.0 kelvin,101.325 kilopascal,2,1,C=CCCl,1.0,,,,,,,,,,,0.8936395081101067 gram / milliliter,0.00036476947295019987 gram / milliliter
76,298.15 kelvin,101.325 kilopascal,2,1,CC(=C)C(=O)OCCO,1.0,,,,,,,,,,,1.0492700398881276 gram / milliliter,0.0003510535354321979 gram / milliliter
77,298.15 kelvin,101.325 kilopascal,6,1,CC(=CCOC(=O)C)C,1.0,,,,,,,57219.10095256022 kilogram * meter ** 2 / mole / second ** 2,227.6118982913027 kilogram * meter ** 2 / mole / second ** 2,,,,
78,298.15 kelvin,101.325 kilopascal,6,1,CC(=O)OCCc1ccccc1,1.0,,,,,,,75358.70726384496 kilogram * meter ** 2 / mole / second ** 2,322.22896845956853 kilogram * meter ** 2 / mole / second ** 2,,,,
79,318.15 kelvin,101.32 kilopascal,2,2,CC(C)(C)O,0.7696000000000001,CC(=O)OC,0.2304,,,,,,,51.66559614023936 kilogram * meter ** 2 / mole / second ** 2,15.982914731232961 kilogram * meter ** 2 / mole / second ** 2,,
80,303.15 kelvin,101.32 kilopascal,2,2,CC(C)(C)O,0.7519,CC(=O)OC,0.2481,,,3.033017725881333e-07 meter ** 3 / mole,1.7811523755922127e-08 meter ** 3 / mole,,,,,,
81,303.15 kelvin,101.32 kilopascal,2,2,CC(C)(C)O,0.25680000000000003,CC(=O)OC,0.7432,,,3.30902781730684e-07 meter ** 3 / mole,1.856633348856298e-08 meter ** 3 / mole,,,,,,
82,318.15 kelvin,101.32 kilopascal,2,2,CC(C)(C)O,0.2372,CC(=O)OC,0.7628,,,,,,,124.4755580657802 kilogram * meter ** 2 / mole / second ** 2,17.15978052703056 kilogram * meter ** 2 / mole / second ** 2,,
83,298.15 kelvin,101.325 kilopascal,2,1,CC(=O)OC,1.0,,,,,,,,,,,0.9228278185766612 gram / milliliter,0.0003712504798072331 gram / milliliter
84,298.15 kelvin,101.325 kilopascal,6,1,CC(=O)c1cccc(c1)OC,1.0,,,,,,,75942.67700663104 kilogram * meter ** 2 / mole / second ** 2,306.3451880893128 kilogram * meter ** 2 / mole / second ** 2,,,,
85,298.15 kelvin,101.325 kilopascal,6,1,CC(=O)c1ccccc1OC,1.0,,,,,,,72554.96954231532 kilogram * meter ** 2 / mole / second ** 2,228.41612617837694 kilogram * meter ** 2 / mole / second ** 2,,,,
86,298.15 kelvin,101.325 kilopascal,6,1,CC(=O)c1ccco1,1.0,,,,,,,50077.098828996335 kilogram * meter ** 2 / mole / second ** 2,263.34003359257247 kilogram * meter ** 2 / mole / second ** 2,,,,
87,299.15 kelvin,101.32 kilopascal,2,2,CC(C)(C)O,0.27780000000000005,COC=O,0.7222,,,4.6577834808470464e-07 meter ** 3 / mole,1.6423511378689986e-08 meter ** 3 / mole,,,743.3448512225586 kilogram * meter ** 2 / mole / second ** 2,16.726873451648967 kilogram * meter ** 2 / mole / second ** 2,,
88,299.15 kelvin,101.32 kilopascal,2,2,CC(C)(C)O,0.7127,COC=O,0.2873,,,,,,,790.993828810464 kilogram * meter ** 2 / mole / second ** 2,16.704922401611864 kilogram * meter ** 2 / mole / second ** 2,,
89,299.15 kelvin,101.32 kilopascal,2,2,CC(C)(C)O,0.7581,COC=O,0.2419,,,4.439985214765174e-07 meter ** 3 / mole,1.7272374446532805e-08 meter ** 3 / mole,,,,,,
90,298.15 kelvin,100.0 kilopascal,2,1,CC(C)(C)O,1.0,,,5.942260270231923 dimensionless,0.6344883235826978 dimensionless,,,,,,,0.7944316646447416 gram / milliliter,0.00040551853772758094 gram / milliliter
91,303.15 kelvin,101.325 kilopascal,2,1,CC(C)(CO)N,1.0,,,16.532124698772435 dimensionless,1.4339298291411227 dimensionless,,,,,,,0.8704084656847821 gram / milliliter,0.0002800631944967437 gram / milliliter
92,298.15 kelvin,101.0 kilopascal,2,1,CC(C)CO,1.0,,,8.548342503925522 dimensionless,1.0113594177289842 dimensionless,,,,,,,0.7970277313168613 gram / milliliter,0.0002772212804667056 gram / milliliter
93,300.15 kelvin,101.325 kilopascal,2,1,CC(C)O,1.0,,,6.494720326864185 dimensionless,0.7409935897276164 dimensionless,,,,,,,0.7743848935574901 gram / milliliter,0.0003520185373162612 gram / milliliter
94,289.15 kelvin,101.325 kilopascal,2,1,CC=O,1.0,,,,,,,,,,,0.7779894019885483 gram / milliliter,0.0004099889264398199 gram / milliliter
95,298.15 kelvin,101.325 kilopascal,2,1,CCC#N,1.0,,,,,,,,,,,0.7496046418655976 gram / milliliter,0.00021341713906425296 gram / milliliter
96,298.15 kelvin,101.0 kilopascal,2,2,CS(=O)C,0.7615000000000001,CCC(=O)C,0.2385,,,,,,,246.7191918733006 kilogram * meter ** 2 / mole / second ** 2,17.204548696153033 kilogram * meter ** 2 / mole / second ** 2,,
97,303.15 kelvin,101.0 kilopascal,2,2,CS(=O)C,0.7340000000000001,CCC(=O)C,0.266,,,-2.4728565969620085e-07 meter ** 3 / mole,1.8380977615538598e-08 meter ** 3 / mole,,,,,,
98,298.15 kelvin,101.0 kilopascal,2,2,CS(=O)C,0.22030000000000005,CCC(=O)C,0.7797,,,,,,,264.82692635488274 kilogram * meter ** 2 / mole / second ** 2,16.273497349402707 kilogram * meter ** 2 / mole / second ** 2,,
99,303.15 kelvin,101.0 kilopascal,2,2,CS(=O)C,0.212,CCC(=O)C,0.7879999999999999,,,-2.4728861882901756e-07 meter ** 3 / mole,1.684507709226466e-08 meter ** 3 / mole,,,,,,
100,298.15 kelvin,101.325 kilopascal,2,1,CCC(=O)C,1.0,,,,,,,,,,,0.7876325270382002 gram / milliliter,0.0002194398963355684 gram / milliliter
101,298.15 kelvin,101.3 kilopascal,2,2,O,0.997803,CCCC(=O)OC,0.002197,,,,,,,-0.5951485452351335 kilogram * meter ** 2 / mole / second ** 2,14.634329871715176 kilogram * meter ** 2 / mole / second ** 2,,
102,298.15 kelvin,101.325 kilopascal,2,1,CCCC(=O)OC,1.0,,,,,,,,,,,0.8912615849342626 gram / milliliter,0.0002813394412642373 gram / milliliter
103,298.15 kelvin,100.0 kilopascal,2,1,CCCCCCCCO,1.0,,,1.656806960372977 dimensionless,0.11238580085154046 dimensionless,,,,,,,0.8213571256365607 gram / milliliter,0.0003846365611814733 gram / milliliter
104,298.15 kelvin,100.0 kilopascal,2,1,CCCCCCCO,1.0,,,1.9294884026380368 dimensionless,0.1614792769514003 dimensionless,,,,,,,0.8146636212616725 gram / milliliter,0.0002903701587409118 gram / milliliter
105,298.15 kelvin,101.0 kilopascal,2,2,c1ccccc1,0.772,CCCCCCCl,0.228,,,5.559232924338514e-07 meter ** 3 / mole,1.947736334038284e-08 meter ** 3 / mole,,,,,,
106,298.15 kelvin,101.0 kilopascal,2,2,c1ccccc1,0.7352,CCCCCCCl,0.26480000000000004,,,,,,,360.187386959522 kilogram * meter ** 2 / mole / second ** 2,19.221579478554315 kilogram * meter ** 2 / mole / second ** 2,,
107,298.15 kelvin,101.0 kilopascal,2,2,c1ccccc1,0.2877,CCCCCCCl,0.7122999999999999,,,3.882887465398723e-07 meter ** 3 / mole,1.715797646054718e-08 meter ** 3 / mole,,,,,,
108,298.15 kelvin,101.0 kilopascal,2,2,c1ccccc1,0.2862,CCCCCCCl,0.7138,,,,,,,188.82902581553208 kilogram * meter ** 2 / mole / second ** 2,19.139159612076817 kilogram * meter ** 2 / mole / second ** 2,,
109,298.15 kelvin,101.325 kilopascal,2,1,CCCCCCCl,1.0,,,,,,,,,,,0.8712127074447746 gram / milliliter,0.00024113198939399914 gram / milliliter
110,298.15 kelvin,100.0 kilopascal,2,1,CCCCCCO,1.0,,,5.923624963403211 dimensionless,1.046856263082713 dimensionless,,,,,,,0.8079423435528111 gram / milliliter,0.0003248989943198572 gram / milliliter
111,298.15 kelvin,101.325 kilopascal,2,1,CCCCCO,1.0,,,6.292901705553929 dimensionless,0.879888112181101 dimensionless,,,,,,,0.8005601942688275 gram / milliliter,0.0002642171106676574 gram / milliliter
112,298.15 kelvin,101.325 kilopascal,2,1,CCCCOC(=O)C,1.0,,,,,,,,,,,0.8802772755822353 gram / milliliter,0.00017936255386239377 gram / milliliter
113,298.15 kelvin,101.325 kilopascal,2,1,CCCCOC=O,1.0,,,,,,,,,,,0.8994314325727796 gram / milliliter,0.00024559050038990704 gram / milliliter
114,298.15 kelvin,101.0 kilopascal,2,1,CCCCO,1.0,,,6.9011885988340005 dimensionless,0.988062270806165 dimensionless,,,,,,,0.7918778666188224 gram / milliliter,0.0002878245342454913 gram / milliliter
115,318.15 kelvin,101.3 kilopascal,2,2,O,0.997504,CCCOC(=O)C,0.002496,,,,,,,14.058913878809108 kilogram * meter ** 2 / mole / second ** 2,14.776541315214835 kilogram * meter ** 2 / mole / second ** 2,,
116,298.15 kelvin,101.325 kilopascal,2,1,CCCOC(=O)C,1.0,,,,,,,,,,,0.8859391180222431 gram / milliliter,0.0002095735522535996 gram / milliliter
117,298.15 kelvin,101.0 kilopascal,2,1,CCCOCCO,1.0,,,7.330356717906759 dimensionless,0.7587584396182038 dimensionless,,,,,,,0.8708249947624525 gram / milliliter,0.00029494918072648334 gram / milliliter
118,300.15 kelvin,101.325 kilopascal,2,1,CCCO,1.0,,,9.180716819043772 dimensionless,0.9891154011435563 dimensionless,,,,,,,0.7793936832276027 gram / milliliter,0.0002380740734327159 gram / milliliter
119,298.15 kelvin,101.325 kilopascal,6,1,CCOC(=O)/C=C(/C)\O,1.0,,,,,,,53701.1038953593 kilogram * meter ** 2 / mole / second ** 2,284.30947840855566 kilogram * meter ** 2 / mole / second ** 2,,,,
120,298.15 kelvin,101.325 kilopascal,6,1,CCOC(=O)c1cccs1,1.0,,,,,,,67892.32776263208 kilogram * meter ** 2 / mole / second ** 2,281.16563009798995 kilogram * meter ** 2 / mole / second ** 2,,,,
121,303.15 kelvin,101.325 kilopascal,2,1,CCO,1.0,,,10.826082827209653 dimensionless,1.0527757632122643 dimensionless,,,,,,,0.7513030148216169 gram / milliliter,0.0003143337839554353 gram / milliliter
122,298.15 kelvin,101.325 kilopascal,6,1,CCc1ccc(s1)C=O,1.0,,,,,,,61306.178528267505 kilogram * meter ** 2 / mole / second ** 2,293.5597129710804 kilogram * meter ** 2 / mole / second ** 2,,,,
